episode,steps,avg_tilt_error,std_tilt_error,max_tilt_error,avg_angular_vel,std_angular_vel,avg_velocity,reward
168,2000,0.010959,0.037137,0.394235,0.077913,0.218559,3.824573,6669.49
169,2000,0.010975,0.044615,0.450508,0.094021,0.266939,3.809549,6536.52
170,2000,0.011962,0.040734,0.425617,0.086683,0.245999,3.836050,6507.32
171,2000,0.011260,0.039391,0.456181,0.089834,0.254327,3.824303,6509.08
172,2000,0.008940,0.038839,0.491204,0.080528,0.241555,3.828736,6999.26
173,2000,0.008138,0.029121,0.283707,0.072719,0.209799,3.839995,6860.82
174,2000,0.015519,0.047550,0.377886,0.079663,0.235345,3.834053,6353.84
175,2000,0.008686,0.035466,0.461712,0.080578,0.239410,3.838762,6704.73
176,2000,0.009709,0.035577,0.391068,0.069420,0.222433,3.834821,6843.41
177,2000,0.007285,0.024397,0.341929,0.062621,0.183121,3.850018,6945.19
178,2000,0.007801,0.035588,0.462687,0.068186,0.219186,3.836892,7273.56
179,2000,0.015594,0.048390,0.471295,0.086120,0.237365,3.837073,6126.46
180,2000,0.014695,0.046343,0.389188,0.079281,0.247236,3.837011,6399.43
181,2000,0.008742,0.035677,0.439556,0.078253,0.238039,3.839464,6979.20
182,2000,0.006211,0.029942,0.372590,0.064343,0.207004,3.841521,7492.25
183,2000,0.009561,0.031140,0.323949,0.077791,0.201973,3.844752,6755.36
184,2000,0.009194,0.039475,0.462817,0.083488,0.245760,3.817953,6879.07
185,2000,0.009806,0.036266,0.441012,0.070094,0.213312,3.824970,6834.26
186,2000,0.009354,0.036959,0.442131,0.084090,0.235743,3.839376,6665.17
187,2000,0.007682,0.034276,0.371432,0.077313,0.232807,3.840582,7326.07
188,2000,0.012463,0.040742,0.442247,0.073311,0.231875,3.832405,6686.07
189,2000,0.014349,0.045358,0.471557,0.092263,0.252768,3.822184,6170.92
190,2000,0.006468,0.028947,0.377652,0.068604,0.197274,3.849674,6932.93
191,2000,0.013766,0.045582,0.486925,0.069909,0.214481,3.830458,6491.85
192,2000,0.008738,0.036960,0.398718,0.081483,0.250322,3.831204,7038.04
193,2000,0.010154,0.034884,0.395865,0.078063,0.226977,3.845477,6564.16
194,2000,0.010204,0.035276,0.464254,0.076419,0.220029,3.837358,6731.13
195,2000,0.011629,0.042855,0.489739,0.090101,0.253055,3.832657,6395.10
196,2000,0.009919,0.029856,0.351255,0.063519,0.171851,3.859040,6778.94
197,2000,0.011098,0.037399,0.381300,0.078735,0.225836,3.847596,6486.54
198,2000,0.011956,0.051475,0.489290,0.090660,0.285155,3.804279,6855.69
199,2000,0.012136,0.038846,0.343909,0.071979,0.213578,3.838003,6671.13
200,2000,0.012952,0.045732,0.397405,0.084657,0.250711,3.835663,6449.63
