episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
68,849,0,0,tilt_error,70.81,0.459146,0.505480,2.462602,0.156728,0.166541,0.659634,0.045346,0.054750,0.350509,3.78,0.078392,7308.61
69,1527,0,0,tilt_error,82.99,0.401866,0.429816,2.470594,0.141805,0.119532,0.518791,0.048778,0.046168,0.361558,3.81,0.070548,14877.97
70,1532,0,0,tilt_error,83.01,0.371626,0.400397,2.314985,0.128452,0.113149,0.523506,0.045531,0.046452,0.365977,3.81,0.064598,15493.83
71,1617,0,0,tilt_error,82.92,0.328444,0.369498,2.373328,0.124429,0.129900,0.614425,0.045933,0.046139,0.349938,3.81,0.063205,18632.41
72,1540,0,0,tilt_error,82.56,0.483375,0.518388,2.343726,0.124037,0.126601,0.621045,0.045035,0.043963,0.371410,3.81,0.068390,10774.32
73,1935,0,0,heading_error,82.50,0.461936,0.532973,2.187320,0.122002,0.121021,0.554703,0.041539,0.039736,0.143250,3.82,0.060410,16653.17
74,1524,0,0,tilt_error,82.74,0.438523,0.463131,2.347320,0.116308,0.123128,0.624289,0.043956,0.039374,0.350090,3.82,0.069002,12353.41
75,1524,0,0,tilt_error,82.77,0.456563,0.461836,2.335073,0.116642,0.124248,0.657790,0.044584,0.039224,0.369219,3.82,0.063515,11315.65
76,1531,0,0,tilt_error,82.70,0.461598,0.461826,4.496497,0.116171,0.128896,0.655100,0.045483,0.040009,0.362704,3.81,0.063852,11868.73
77,63,0,0,heading_error,-5.64,3.493627,1.164296,4.596402,0.395815,0.340234,1.044996,0.100027,0.039449,0.147453,2.86,0.121638,-1479.45
78,1542,0,0,tilt_error,82.71,0.586555,0.802005,4.593710,0.144382,0.160415,1.570000,0.048661,0.040358,0.353678,3.81,0.069622,9727.14
79,1,0,0,heading_error,18.02,0.374123,0.000000,0.374123,0.001993,0.000000,0.001993,0.003368,0.000000,0.003368,0.09,0.000000,-582.51
80,1534,0,0,tilt_error,82.74,0.428401,0.452116,2.175441,0.124727,0.132513,0.624778,0.046734,0.043817,0.350195,3.81,0.065636,13146.27
81,1925,0,0,heading_error,82.65,0.384558,0.417601,2.352906,0.115689,0.127295,1.570000,0.042594,0.038885,0.169546,3.82,0.065702,18822.88
82,1,0,0,heading_error,18.01,3.861687,0.000000,3.861687,0.001993,0.000000,0.001993,0.000274,0.000000,0.000274,0.06,0.000000,-591.91
83,1928,0,0,heading_error,82.67,0.410447,0.639744,3.931749,0.140235,0.143036,0.691615,0.047693,0.041347,0.155309,3.81,0.068605,21839.98
84,1918,0,0,heading_error,82.63,0.380139,0.491535,2.827215,0.134018,0.133693,0.557250,0.047167,0.041440,0.159477,3.82,0.071682,21977.76
85,1317,0,0,tilt_error,82.64,0.426531,0.589481,3.186148,0.154806,0.180327,1.042867,0.050227,0.051436,0.359449,3.79,0.072380,13440.22
86,1224,0,0,tilt_error,82.73,0.360818,0.462503,2.624775,0.123253,0.128213,0.581723,0.045306,0.047699,0.365792,3.80,0.074764,14428.92
87,1220,0,0,tilt_error,82.72,0.395904,0.557889,2.633244,0.132757,0.135437,0.602387,0.046119,0.046289,0.371021,3.80,0.081078,13982.90
88,1217,0,0,tilt_error,82.72,0.354876,0.465976,2.191011,0.125663,0.127302,0.579431,0.044176,0.046952,0.366842,3.80,0.078248,14665.79
89,1222,0,0,tilt_error,82.70,0.337113,0.438341,2.139969,0.131113,0.131124,0.597254,0.046259,0.047299,0.354553,3.79,0.082338,15018.63
90,1225,0,0,tilt_error,82.67,0.291552,0.371628,2.132001,0.119905,0.129860,0.588652,0.044413,0.048955,0.363869,3.80,0.075979,16847.00
91,1915,0,0,heading_error,82.62,0.298529,0.353547,3.031936,0.126020,0.128013,0.578805,0.045123,0.041892,0.164504,3.81,0.070129,24841.17
92,1920,0,0,heading_error,82.61,0.368744,0.496512,3.130524,0.131593,0.127302,0.609526,0.046394,0.038666,0.155373,3.81,0.076088,22266.14
93,1915,0,0,heading_error,82.58,0.316870,0.343894,2.361365,0.117180,0.114731,0.600201,0.045070,0.036903,0.154425,3.82,0.073518,23536.56
94,1911,0,0,heading_error,82.72,0.345437,0.371646,2.412127,0.113730,0.107348,0.550036,0.044552,0.032813,0.152290,3.83,0.068158,23046.88
95,1908,0,0,heading_error,82.69,0.305401,0.302365,2.406916,0.103512,0.100939,0.524675,0.042387,0.031798,0.147194,3.83,0.067553,25063.87
96,1909,0,0,heading_error,82.70,0.313295,0.301830,2.135587,0.105639,0.103343,0.547198,0.043049,0.032863,0.152222,3.83,0.072153,25151.33
97,1905,0,0,heading_error,82.69,0.270620,0.304561,2.366867,0.101294,0.114579,1.570000,0.041425,0.034389,0.159149,3.83,0.063645,28028.68
98,1,0,0,heading_error,14.50,4.326042,0.000000,4.326042,0.001993,0.000000,0.001993,0.000311,0.000000,0.000311,0.06,0.000000,-592.13
99,32,0,0,tilt_error,-15.43,4.142515,0.628263,4.458197,0.123588,0.106218,0.427568,0.159561,0.104461,0.369285,1.93,0.055612,-809.96
100,1906,0,0,heading_error,82.69,0.292418,0.315552,2.654586,0.109220,0.108967,0.527590,0.043722,0.034450,0.156813,3.83,0.065880,27046.23
101,45,0,0,tilt_error,-5.03,2.175858,0.649654,2.750443,0.272091,0.295886,1.000096,0.163206,0.097281,0.369808,2.22,0.086723,-878.04
102,1909,0,0,heading_error,82.68,0.294265,0.326318,2.320743,0.110408,0.112548,0.531195,0.044283,0.036139,0.159229,3.82,0.068440,26708.93
103,1911,0,0,heading_error,82.68,0.300256,0.386991,3.213284,0.127856,0.129332,0.591949,0.046469,0.038991,0.157683,3.82,0.073086,26745.78
104,1914,0,0,heading_error,82.66,0.341444,0.495034,3.338273,0.128913,0.138217,0.719437,0.046713,0.037981,0.156964,3.82,0.072361,25811.78
105,1908,0,0,heading_error,82.79,0.297680,0.326654,2.317434,0.113542,0.108071,0.551645,0.044357,0.034536,0.157375,3.82,0.072812,26064.10
106,1920,0,0,heading_error,82.71,0.353282,0.382106,2.117174,0.120649,0.120277,0.581773,0.044698,0.035206,0.154323,3.82,0.079476,23089.78
