#{"t_start": 1772158297.3285942, "env_id": "None"}
r,l,t
27451.912083,1901,3359.447006
27973.186315,1902,3380.89158
28835.292138,1899,3402.350383
28002.418453,1904,3423.980545
27454.154396,1902,3445.419502
29044.988636,1900,3466.877805
-592.139007,1,3466.908025
22483.492348,1912,3488.581839
20290.56466,1911,3510.233127
23096.600491,1907,3531.852643
25959.280911,1904,3553.459814
-592.296514,1,3553.486643
23529.961719,1907,3574.968367
24405.530947,1911,3595.960823
24054.827291,1915,3617.188608
-591.927754,1,3617.209603
25937.368326,1903,3638.146749
24996.523242,1903,3659.527521
24933.743297,1903,3680.733796
22365.773733,1906,3702.119876
-592.094,1,3702.145302
24373.094689,1904,3723.579327
26451.497369,1901,3744.970205
25512.360179,1911,3766.381621
28314.513719,1903,3787.713976
-591.928128,1,3787.736979
27389.853552,1903,3808.65941
26280.34829,1908,3829.650839
29068.010471,1902,3850.703079
28746.632393,1901,3871.912211
27943.780894,1902,3893.22593
24348.186983,1907,3914.757533
-592.236084,1,3914.783386
24342.725272,1908,3936.453633
27495.267497,1900,3958.088502
24832.858833,1906,3979.670978
-591.906568,1,3979.701452
26900.959216,1902,4001.232329
25657.551716,1906,4022.837742
-591.908221,1,4022.865151
27077.349931,1904,4044.521933
26790.54277,1906,4066.24854
25966.187838,1902,4087.661788
23426.673645,1910,4109.234553
22216.145341,1913,4130.823079
24151.44368,1905,4151.72265
25909.493398,1905,4172.730253
26468.825233,1904,4193.833137
25763.472159,1905,4215.341963
23508.129272,1908,4236.771969
-592.044229,1,4236.80216
25252.056972,1906,4258.340029
25591.44933,1904,4279.863303
28611.08269,1902,4301.294191
-592.338718,1,4301.319076
26641.396561,1902,4322.8257
26819.339809,1905,4344.4275
-592.317418,1,4344.448249
-592.130553,1,4344.474767
29074.571082,1902,4365.889923
28326.652805,1901,4387.358307
29616.768181,1898,4408.951916
-810.859916,32,4409.328898
30215.566866,1896,4430.761168
-591.925306,1,4430.791117
-592.251514,1,4430.812132
-592.367647,1,4430.837379
30199.343621,1895,4452.161365
30366.315197,1896,4473.588192
30725.179749,1897,4494.204856
30571.211684,1896,4514.989149
30653.613631,1897,4535.964877
