episode,steps,completed,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
92,1,0,0,heading_error,18.00,1.871585,0.000000,1.871585,0.001993,0.000000,0.001993,0.001703,0.000000,0.001703,0.06,0.000000,-574.51
93,47,0,0,tilt_error,-3.49,1.657509,0.398312,2.199703,0.118941,0.149147,0.537662,0.124752,0.105801,0.352381,2.61,0.069310,-870.09
94,48,0,0,tilt_error,-4.62,1.945765,0.448523,2.292009,0.166191,0.256351,1.570000,0.127007,0.106019,0.359847,2.62,0.094700,-939.19
95,1,0,0,heading_error,8.21,2.551398,0.000000,2.551398,0.001993,0.000000,0.001993,0.002157,0.000000,0.002157,0.07,0.000000,-591.41
96,47,0,0,tilt_error,-6.43,2.297329,0.487366,2.606353,0.098238,0.130473,0.478630,0.124198,0.109775,0.372821,2.64,0.094404,-970.05
97,727,0,0,tilt_error,49.89,0.303258,0.419135,2.246103,0.115314,0.150990,1.570000,0.034392,0.052432,0.350779,3.78,0.050384,9788.15
98,1,0,0,heading_error,8.57,4.496497,0.000000,4.496497,0.001993,0.000000,0.001993,0.001704,0.000000,0.001704,0.06,0.000000,-573.95
99,28,0,0,tilt_error,-16.95,4.447848,0.311575,4.620562,0.088620,0.059584,0.199938,0.150199,0.110085,0.366485,1.86,0.046588,-765.19
100,30,0,0,tilt_error,-10.70,2.940776,0.195525,3.092873,0.089564,0.060405,0.221727,0.142472,0.109082,0.356782,1.97,0.043020,-789.08
101,35,0,0,tilt_error,-6.88,2.093485,0.311046,2.300910,0.141138,0.258342,1.570000,0.140815,0.111167,0.370808,2.19,0.050412,-844.26
102,1,0,0,heading_error,11.90,1.869669,0.000000,1.869669,0.001993,0.000000,0.001993,0.002159,0.000000,0.002159,0.07,0.000000,-591.91
103,40,0,0,tilt_error,-4.37,1.669560,0.341296,1.922725,0.108322,0.131026,0.482005,0.135370,0.104381,0.352654,2.39,0.020012,-843.98
104,91,0,0,tilt_error,3.71,0.567294,0.335769,1.842406,0.146331,0.142092,0.383284,0.091930,0.089963,0.358207,3.20,0.082432,-129.32
105,89,0,0,tilt_error,7.37,1.132240,0.570470,1.859382,0.256345,0.222141,0.646372,0.098051,0.084077,0.359557,3.20,0.083663,-1239.93
106,89,0,0,tilt_error,9.18,1.388553,0.711816,2.541553,0.373629,0.319100,0.900657,0.121362,0.086136,0.365059,3.15,0.106707,-1643.09
107,89,0,0,tilt_error,6.19,0.977687,0.523936,2.346591,0.221450,0.194084,0.570118,0.096735,0.083956,0.350560,3.20,0.087622,-949.23
108,38,0,0,tilt_error,-6.54,2.141946,0.426150,2.450944,0.140365,0.142770,0.546746,0.147204,0.107051,0.366574,2.21,0.062090,-870.36
109,181,0,0,tilt_error,6.52,0.403815,0.360502,2.135208,0.170862,0.186973,0.943244,0.077992,0.077105,0.364207,3.48,0.072614,1286.86
110,106,0,0,tilt_error,6.60,0.652041,0.443342,2.142069,0.230599,0.258682,1.570000,0.102489,0.087054,0.349737,3.23,0.074808,-353.59
111,1,0,0,heading_error,18.02,0.086425,0.000000,0.086425,0.001993,0.000000,0.001993,0.002159,0.000000,0.002159,0.07,0.000000,-589.90
112,710,0,0,tilt_error,47.63,0.319338,0.492464,2.239920,0.104690,0.133976,0.609522,0.031576,0.049477,0.352613,3.80,0.054699,9882.47
113,89,0,0,tilt_error,5.20,0.742910,0.485332,1.349591,0.180833,0.162443,0.475635,0.098430,0.087964,0.360100,3.18,0.104695,-646.90
114,310,0,0,tilt_error,1.96,0.241953,0.182523,1.422080,0.112881,0.100276,0.421131,0.054512,0.060161,0.356295,3.66,0.071042,4362.16
115,62,0,0,heading_error,3.46,1.086035,0.460785,1.506474,0.269726,0.306768,1.015090,0.133881,0.093687,0.335701,2.80,0.071134,-1112.57
116,136,0,0,tilt_error,5.31,0.703610,0.441191,1.529382,0.205595,0.171720,0.553102,0.099125,0.079498,0.354196,3.36,0.071193,-648.22
