#{"t_start": 1772260924.8721814, "env_id": "None"}
r,l,t
19038.225273,1198,3579.856403
16525.921067,1201,3592.42785
19240.461593,1198,3604.585102
16358.30436,1200,3616.907049
16814.573117,1200,3629.376202
-773.903788,29,3629.688827
17812.921518,1200,3642.031392
16397.470531,1200,3654.286734
18611.299009,1201,3666.738092
16174.432955,1206,3679.160711
18226.572222,1205,3691.627975
-581.376229,1,3691.655357
-592.510116,1,3691.673592
17897.669674,1209,3704.262172
-536.28795,9,3704.381097
19010.326359,1199,3716.801586
16601.710313,1201,3729.150318
-581.106425,1,3729.180192
18311.465841,1202,3741.287196
-581.442888,1,3741.310236
18679.138463,1200,3753.367609
-581.466559,1,3753.394104
16032.839655,1201,3765.495977
-581.20084,1,3765.527522
-592.275041,1,3765.546959
-592.263708,1,3765.573724
18889.670241,1197,3777.817303
18498.749096,1199,3789.99792
16830.341642,1204,3802.376113
-581.268056,1,3802.398978
15673.5986,1200,3814.711319
18131.425915,1199,3827.042159
-888.772393,41,3827.486255
17433.816687,1207,3840.064525
16175.20575,1201,3852.460881
-581.354871,1,3852.491371
-591.958552,1,3852.510292
16999.15391,1201,3864.958866
-581.386258,1,3864.981559
16419.542132,1203,3877.239764
16156.483703,1206,3889.283085
18394.791843,1202,3901.51371
16505.130952,1205,3913.794331
17713.579641,1204,3926.155035
18823.248672,1199,3938.557656
17372.31095,1199,3950.835562
-581.208233,1,3950.864191
18787.309956,1198,3963.142308
16142.499296,1202,3975.721845
17034.703028,1203,3988.137857
16243.986563,1201,4000.629669
15437.848868,1205,4012.798799
16046.433982,1209,4024.881192
-581.301167,1,4024.902588
16670.303366,1201,4037.173044
15713.077569,1204,4049.338706
15582.374372,1203,4061.473427
15712.414338,1201,4073.736031
16873.68152,1199,4085.950106
17170.106161,1210,4098.51025
16675.010843,1203,4111.017364
18639.185175,1198,4123.513706
-795.858777,31,4123.84499
-586.041832,1,4123.87344
-592.039864,1,4123.89302
16230.042216,1201,4136.361767
15981.84571,1200,4148.524929
17459.815828,1198,4160.620317
-581.141957,1,4160.64383
17365.447438,1198,4172.808268
18755.45296,1197,4184.978366
15835.37506,1205,4197.256342
16902.520364,1210,4209.71702
16714.430915,1209,4222.190433
-785.403929,30,4222.526684
16445.375568,1207,4235.298806
18020.514757,1206,4249.385435
16363.930128,1206,4263.431544
-796.866401,31,4263.793848
18864.486884,1204,4277.295888
-581.273351,1,4277.323348
17374.272562,1204,4290.647121
17693.506873,1204,4303.918295
16038.239204,1209,4317.22135
-581.402601,1,4317.240271
16672.356168,1203,4330.370008
-794.823276,31,4330.726468
15594.357984,1210,4343.661836
17534.939698,1202,4356.401714
-501.757209,6,4356.485707
15327.418008,1210,4369.421648
-581.450048,1,4369.454126
-880.472139,39,4369.881727
16521.203739,1206,4382.75962
-803.123149,32,4383.120467
-586.221567,1,4383.149451
-592.447865,1,4383.171562
15732.369405,1207,4396.147365
17343.127325,1203,4408.617497
15700.230595,1203,4421.007254
15988.059804,1208,4433.217153
16891.598483,1204,4445.486468
-581.478554,1,4445.508252
-765.107544,28,4445.817638
18146.558145,1199,4457.961741
-763.390672,28,4458.269263
16517.584354,1204,4470.552316
-763.390675,28,4470.86312
17997.85123,1203,4483.147317
16780.396105,1204,4495.511058
-581.344716,1,4495.540554
16102.859181,1203,4508.010303
18139.782434,1200,4520.607924
-581.223894,1,4520.636557
16742.411618,1204,4533.358814
-581.359098,1,4533.383301
17087.704873,1202,4545.843537
16246.857347,1201,4558.167234
16645.878293,1201,4570.453477
18036.14691,1200,4582.845192
16083.981681,1201,4595.070944
15257.654634,1203,4607.353248
-763.186038,28,4607.660539
16706.42879,1201,4619.950715
-581.361751,1,4619.97029
-592.461364,1,4619.994294
16797.997181,1205,4632.375335
-581.437763,1,4632.404795
16438.157803,1199,4644.823074
-763.390672,28,4645.125653
16408.880231,1202,4657.587119
16707.374891,1199,4670.007773
-581.27708,1,4670.030379
-592.377892,1,4670.05629
15903.36171,1204,4682.54558
-763.362407,28,4682.858834
17720.129256,1198,4695.169289
15904.993744,1200,4707.346655
18906.108607,1201,4719.433398
-581.237034,1,4719.46259
-592.062368,1,4719.484198
-592.49617,1,4719.511365
18462.594371,1202,4731.67124
15899.713545,1207,4743.955211
16441.641086,1201,4756.265619
-581.018611,1,4756.288385
-592.374421,1,4756.3125
-592.272129,1,4756.332955
18322.605378,1201,4768.707856
15454.16883,1206,4781.257256
15285.937945,1204,4793.587418
-581.257859,1,4793.608853
16125.604259,1203,4806.041145
-581.184356,1,4806.062976
-841.610012,35,4806.439007
-591.967304,1,4806.45904
15826.11807,1203,4818.879122
16400.878397,1207,4831.445837
17125.773958,1207,4843.623913
17498.665967,1202,4855.821292
15710.12639,1206,4868.120597
15789.33078,1203,4880.45341
15167.012571,1203,4892.886427
-581.131977,1,4892.910016
17159.287136,1200,4905.277985
16410.704955,1199,4917.62406
17346.396209,1200,4930.055555
16267.54023,1200,4942.461249
15590.258644,1203,4954.877239
15415.469446,1202,4967.377558
15244.588385,1204,4979.425834
17983.775563,1202,4991.622954
15353.1977,1206,5003.998747
15198.4443,1207,5016.281339
18027.433565,1203,5028.664126
-581.4856,1,5028.697219
-592.337571,1,5028.719096
17130.197387,1202,5041.107278
16461.618097,1208,5053.487218
-581.356824,1,5053.516066
16624.998814,1206,5066.007897
