episode,new_episode,steps,completed,completion_index,completion_steps,termination_reason,progress_percent,avg_lateral,std_lateral,max_lateral,avg_course,std_course,max_course,avg_tilt,std_tilt,max_tilt,avg_velocity,avg_action_change,reward
54,52,123,0,0,0,tilt_error,6.79,1.152584,0.49989,1.883722,0.281645,0.230886,0.683532,0.107912,0.081166,0.362639,3.3,0.069634,-1888.77
55,53,114,0,0,0,tilt_error,5.76,1.3172,0.559408,3.471904,0.260795,0.238535,0.636344,0.097295,0.082752,0.365131,3.31,0.087885,-1927.07
56,54,623,0,0,0,tilt_error,31.84,0.958307,1.129517,4.043911,0.190288,0.197262,0.935533,0.050919,0.057196,0.363693,3.76,0.052191,657.46
57,55,672,0,0,0,tilt_error,40.99,0.352741,0.277149,1.968076,0.102565,0.132356,0.554255,0.03288,0.05186,0.373254,3.79,0.044477,8187.63
58,56,669,0,0,0,tilt_error,40.65,0.372875,0.272943,1.946502,0.103524,0.147553,0.594393,0.031031,0.051417,0.352874,3.79,0.044181,7915.57
59,57,575,0,0,0,tilt_error,24.51,0.428884,0.256493,2.891206,0.117002,0.148325,0.544332,0.032311,0.052615,0.367104,3.78,0.053718,4359.23
60,58,125,0,0,0,tilt_error,8.56,1.985793,0.85084,2.941153,0.36345,0.2943,0.867892,0.092791,0.077699,0.361342,3.36,0.084655,-2315.63
62,59,107,0,0,0,tilt_error,7.58,1.489408,0.592022,2.128827,0.316446,0.286658,0.7783,0.100762,0.081123,0.356784,3.28,0.080495,-1958.82
63,60,712,0,0,0,tilt_error,47.25,0.480627,0.323959,1.75264,0.117214,0.131926,0.814549,0.034021,0.052853,0.359121,3.79,0.053054,4008.93
66,61,106,0,0,0,tilt_error,3.99,0.75971,0.355978,1.981433,0.207066,0.177902,0.51816,0.099744,0.087331,0.370304,3.25,0.074658,-813.97
68,62,743,0,0,0,tilt_error,53.14,0.414668,0.338392,2.084189,0.111844,0.138011,0.633346,0.032467,0.051265,0.359588,3.8,0.05486,6515.65
72,63,107,0,0,0,tilt_error,4.29,0.737137,0.345227,1.278248,0.232843,0.192913,0.650765,0.106837,0.083811,0.353427,3.22,0.062867,-840.17
73,64,104,0,0,0,tilt_error,4.83,0.834394,0.373062,1.416758,0.244654,0.240435,1.57,0.106736,0.084089,0.353265,3.22,0.063842,-985.22
75,65,126,0,0,0,tilt_error,1.55,0.455907,0.217084,0.824412,0.176371,0.18372,1.57,0.087681,0.081558,0.373767,3.37,0.087841,286.54
81,66,758,0,0,0,tilt_error,54.81,0.390925,0.528229,2.242728,0.103528,0.151122,1.57,0.036756,0.049463,0.365297,3.79,0.050052,9199.93
85,67,110,0,0,0,tilt_error,7.74,1.362312,0.590965,2.109246,0.234207,0.240709,0.725197,0.081952,0.082405,0.355945,3.33,0.074916,-1864.21
90,68,106,0,0,0,tilt_error,7.03,1.224815,0.540664,1.781433,0.222844,0.229938,0.65759,0.082435,0.082999,0.351632,3.31,0.067129,-1743.76
91,69,716,0,0,0,tilt_error,48.64,0.306354,0.422816,2.166341,0.109268,0.139791,1.57,0.032063,0.050497,0.35724,3.79,0.047922,9876.25
97,70,727,0,0,0,tilt_error,49.89,0.303258,0.419135,2.246103,0.115314,0.15099,1.57,0.034392,0.052432,0.350779,3.78,0.050384,9788.15
